,Tickers,day_of
61038,MKSI,2006-04-25
61039,QCOM,2001-08-23
61040,QCOM,2003-06-13
61041,QCOM,2003-08-04
61042,QCOM,2003-01-02
61043,QCOM,2004-01-30
61044,QCOM,2003-08-29
61045,QCOM,2005-08-24
61046,QCOM,2004-10-21
61047,QCOM,2004-11-30
61048,QCOM,2005-05-13
61049,QCOM,2004-10-07
61050,QCOM,2006-10-03
61051,QCOM,2002-04-24
61052,BP,1997-09-12
61053,BP,1999-11-23
61054,BP,1997-09-12
61055,AGNG,1995-11-01
61056,E,2002-05-20
61057,CPSH,1988-01-26
61058,CPSH,1988-08-08
61059,MMM,1995-01-05
61060,HNI,2004-06-10
61061,HNI,2004-06-10
61062,VIAO,1998-02-17
61063,ITT,2005-03-07
61064,UVE,1975-10-20
61065,LB,2002-12-19
61066,LB,2003-03-19
61067,LB,2003-04-17
61068,LB,2003-12-08
61069,AGCO,1993-04-27
61070,AGCO,1995-04-19
61071,AGCO,1998-05-13
61072,FLOW,2003-12-15
61073,MMM,2004-02-20
61074,MMM,2001-06-15
61075,LB,2001-09-14
61076,LB,2007-12-12
61077,REX,1998-10-19
61078,PPG,1975-05-14
61079,PPG,1976-06-28
61080,PPG,1977-12-16
61081,UVE,1976-06-18
61082,ITT,1997-11-24
61083,ITT,1999-02-16
61084,FMC,1979-01-29
61085,FMC,1980-04-08
61086,FMC,1981-04-24
61087,FMC,1983-04-29
61088,FMC,1985-04-29
61089,FMC,1985-05-07
61090,FMC,1985-06-13
61091,AGCO,1993-08-23
61092,AGCO,1998-04-14
61093,ITT,2003-08-07
61094,ITT,1982-01-25
61095,ITT,1981-05-20
61096,UVE,1982-11-08
61097,UVE,1975-10-20
61098,UVE,1976-06-18
61099,HPQ,2002-09-24
61100,DWPP,1997-04-01
61101,XOMA,1997-06-20
61102,SM,2005-07-20
61103,JJSF,1981-03-24
61104,PPG,1982-04-26
61105,PPG,1994-12-21
61106,LYTS,1999-03-29
61107,FLOW,2004-05-21
61108,TOPS,1995-06-01
61109,PPG,1974-01-04
61110,PPG,1975-01-29
61111,GSQD,1991-08-06
61112,GSQD,1991-09-23
61113,GSQD,1992-02-10
